player_id,name,birth_year,age,teams,competitions,minutes,matches,off,def,total,peak,pct_total,pct_peak,pct_talent
849039,Sebastian Hölzl,2001,25,FC Puch / SV Grödig,Salzburger Liga,5582,71,0.2003,0.1992,0.3996,0.3996,0.0,0.0,1.0
954916,Simon Eberharter,2008,18,Red Bull Akademie U15 / Red Bull Akademie U16 / Red Bull Akademie U18,ÖFB Jugendliga U15 / ÖFB Jugendliga U16 / ÖFB Jugendliga U18,3687,55,0.2996,0.0825,0.3821,0.5921,0.0,0.0,2.9
780804,Philipp Scheucher,2001,25,ASK Sparkasse Stadtwerke Voitsberg / ASK Voitsberg,Regionalliga Mitte,4380,51,0.24,0.0928,0.3329,0.3329,0.2,0.2,5.2
1019190,Ifeanyi Ndukwe,2008,18,AKA FK Austria Wien U16 / AKA FK Austria Wien U18 / Young Violets Austria Wien,Regionalliga Ost / ÖFB Jugendliga U16 / ÖFB Jugendliga U18,4188,47,0.2549,0.0775,0.3324,0.5424,0.1,0.1,1.0
413750,Okan Yilmaz,1997,29,FC Wacker Innsbruck,HYPO TIROL Liga / Regionalliga West,3526,55,0.1371,0.1931,0.3302,0.3602,0.0,0.0,8.1
1077103,Zan Pelko,,,ASK Voitsberg / DSV Leoben,Regionalliga Mitte,2716,31,0.2123,0.1149,0.3272,0.3272,,,
244381,Nico Dormann,2001,25,Bruck/Mur / FC E-Werk Kindberg-Mürzhofen,Landesliga / Oberliga Nord,3648,49,0.1507,0.1741,0.3249,0.3249,0.4,0.4,8.0
1100809,Vincent Zeidler,2008,18,NWZ First Vienna FC 1894 U16 / NWZ First Vienna FC 1894 U18 / Vienna,Wiener Stadtliga / ÖFB Jugendregionalliga Ost U16 / ÖFB Jugendregionalliga Ost U18 / ÖFB Jugendregionalliga U18,4053,61,0.2325,0.0821,0.3145,0.5245,0.2,0.2,1.3
1015785,Andrej Stojanovic,2010,16,Red Bull Akademie U15 / Red Bull Akademie U16,ÖFB Jugendliga U15 / ÖFB Jugendliga U16,3191,45,0.1833,0.1294,0.3127,0.6327,0.0,0.0,0.7
855355,Andrej Stevanovic,2004,22,ASK Voitsberg / Admira Wacker,11teamsports 1. Landesliga / Regionalliga Mitte,3141,37,0.2116,0.0978,0.3094,0.3594,0.0,0.0,5.5
955513,Laurenz Lanthaler,2007,19,Red Bull Akademie U16 / Red Bull Akademie U18 / SV Wals-Grünau,Regionalliga West / ÖFB Jugendliga U16 / ÖFB Jugendliga U18,3545,49,0.1728,0.1339,0.3067,0.4567,0.0,0.0,2.1
412426,Fabian Kraxner,1998,28,SVG Reichenau,Regionalliga West,5549,75,0.0841,0.2221,0.3062,0.3162,0.0,0.0,1.9
361131,Fritz Kühleitner,1993,33,SV Kuchl,Regionalliga West / Salzburger Liga,5220,58,0.1904,0.113,0.3034,0.4634,0.0,0.0,3.8
359683,Alexander Preyhaupt,1996,30,SV Zebau Bad Ischl / USK Maximarkt Anif,LT1 OÖ Liga / Salzburger Liga,4439,52,0.0951,0.2081,0.3032,0.3532,0.0,0.0,5.9
899722,Felix Fischer,2006,20,AKA FK Austria Wien U18 / Young Violets Austria Wien,Regionalliga Ost / ÖFB Jugendliga U18,3390,40,0.1749,0.1244,0.2993,0.3993,0.0,0.0,0.8
